Topic,Audio,Word,Kanji,Meaning,Notes
14,-,けいようし,形容詞,Adjectives,N
14,146,ちかい,近い,near,i
14,146,とおい,,far,i
14,146,べんりな,,"convenient, handy",na
14,146,ふべんな,,incovenient,na
14,146,きれいな,,clean,na
14,146,きたない,,dirty,i
14,146,おいしい,,delicious,i
14,146,みずい,,bad-tasting,i
14,146,おおい,多い,many,i
14,146,すくない,少ない,few,i
14,146,しずかな,静かな,quiet,na
14,146,うるさい,,loud,i
14,146,にぎやかな,,lively,na
14,146,ゆうめいな,,famous,na
14,146,あぶない,,dangerous,i
14,146,たいせつな,,important,na
14,146,やさしい,,easy,i
14,147,かんたんな,,"simple,easy",na
14,147,むずかしい,,difficult,i
14,147,いそがしい,,busy,i
14,147,ひまな,,"free,relaxed",na
14,147,たいへんな,,"hard,tough",na
14,147,たのしい,,fun,i
14,147,おもしろい,,interesting,i
14,147,つまらない,,boring,i
14,147,さびしい,,lonely,i
14,147,ねむい,,sleepy,i
14,147,じょうずな,,skillful,na
14,147,へたな,,bad (unskilled),na
14,147,むりな,,impossible,na
14,147,しんせつな,,kind,na
14,147,やさしい,,"gentle,easygoing",i
14,147,げんきな,元気な,energetic,na
14,147,わかい,,young,i
14,149,ところ,,place,N
14,151,まえ,前,"before,previously",N
14,152,（お）まつり,,festival,N
14,153,ひと,人,person,N
14,155,ほんとうに,,really,Adverb
14,156,（アル）バイト,,part-time job,"N, V3-I"
14,156,たいとい,,usually,Adverb
14,157,しごと,,job,N
14,159,パーテイー,,party,N
14,160,さいきん,,recently,Adverb
14,161,じかん,時間,"hour, time",N
14,162,ほんとう,,"yes,true",N
14,163,うんてん,,driving,"N, V3-T"
14,164,せんせい,先生,teacher,N
14,165,このまえ,この前,"previously, the other day",N
