Topic,Audio,Word,Kanji,Meaning,Notes
10,-,まいにちのこと,毎日のこと,Daily activities,N
10,-,ばしょ,場所,Places,N
10,91,いえ,家,house,N
10,91,へや,,room,N
10,91,としょかん,,library,N
10,91,しょくどう,,cafeteria,N
10,91,コンビニ,,convenience store,N
10,91,スーパーマーケット,,supermarket,N
10,91,（お）みせ,（お）店,"shop, store, restaurant",N
10,91,にくや,肉屋,butcher shop,N
10,91,さかなや,魚屋,fish shop,N
10,91,やおや,,greengrocer,N
10,91,ヅルッグストア,,drugstore,N
10,92,いつも,,"always, usually",Adverb
10,92,べんきょう,,study,"N, V3-T, suru"
10,93,テレビ,,TV,N
10,93,みる,見る,"to see, watch","V2-T, ichidan"
10,93,よく,,often,Adverb
10,94,はん,半,book,N
10,94,よむ,読む,to read,"V1-T, godan"
10,94,あまり,,"(not) much, (not) many",Adverb
10,95,りょうり,,"to cook, cooking","N, V3-T, suru"
10,95,ぜんぜん,,(not) at all,Adverb
10,96,おんがく,,music,N
10,96,きく,聞く,to listen,"V1-T, godan"
10,97,かう,買う,buy,"V1-T, godan"
10,98,そうじ,,"to clean, cleaning","N, V3-T, suru"
10,98,それから,,"next, then",Conjunction
10,98,せんたく,,"laundry, to wash (cloth)","N, V3-T, suru"
10,99,（お）ふろ,,bath,N
10,99,はいる,入る,to take (a bath),"V1-I, ichidan"
10,99,ショワー,,shower,N
10,99,あびる,,to take (a shower),"V2-T, ichidan"
10,100,かいもの,買い物,"to shop, shopping","N, V3-I, suru"
10,100,レポート,,report,N
10,100,かく,書く,to write,"V1-T, godan"
10,101,ニュース,,news,N
10,101,（インター）ネット,,internet,N
10,102,でんわ,電話,to phone call,"N, V3-I, suru"
10,103,（お）べんとう,,bento box,N
10,103,つくる,作る,to make,"V1-T, godan"
10,103,あらう,,to wash,"V1-T, godan"
11,-,しゅみ,趣味,Hobbies,N
11,-,ばしょ,馬首,Places,N
11,104,しゅみ,,Hobbies,N
11,104,いえが,,Movie,N
11,104,ギター,,Guitar,N
11,104,ピアノ,,Piano,N
11,104,うた,,Song,N
11,104,スポーツ,,Sport,N
11,104,サッカー,,Soccer,N
11,104,テニス,,Tennis,N
11,104,スキー,,Skiing,N
11,104,すいえい,,Swimming,N
11,104,やきゅう,,Baseball,N
11,104,ジョギング,,Jogging,V3-T
11,104,ダンス,,Dance,V3-T
11,104,ゲーム,,Game,V3-T
11,104,アニメ,,Anime,N
11,104,まんが,,Manga,N
11,105,まち,町,Town,N
11,105,えいがかん,,Movie theater,N
11,105,レストラント,,Restaurant,N
11,105,きっさてん,,Cafe,N
11,105,カフェ,,Cafe,N
11,105,こうえん,,Park,N
11,105,びじゅつかん,,Art gallery,N
11,105,プール,,Pool,N
11,105,（お）てら,,Temple,N
11,105,びよういん,,Hair salon,N
11,105,カレオケ,,Karaoke,N
11,105,どうぶつえん,,Zoo,N
11,106,ひく,,to play (instrument),V1-T
11,107,すきな,好きな,to like,na
11,107,かく,,to draw,V1-T
11,108,どんな,,what kind,Adnom.
11,108,ポッポス,,pop music,N
11,108,クラシック,,classical music,N
11,109,やすみ,休み,"day off, holiday",N
11,109,およぐ,,to swim,V1-I
11,111,あぞぶ,,"to hangout, play",V1-I
11,111,しょくじ,,"meal, dine","N, V3-I"
11,112,でかける,出かける,to go out,V2-I
11,112,さんぽ,,"to walk, stroll","N, V3-1"
11,113,のぼる,,"to climb, hike",V1-I
11,114,うま,馬,horse,N
11,114,とる,,to take (photograph),V1-T
11,114,どうぶつ,,animal,N
11,114,だいすきな,大好きな,love,na
11,115,ひとりで,一人で,"alone, by oneself",Adverb
11,115,じんじゃ,,shrine,N
11,116,にほんご,,japanese language,N
11,116,うたう,,to sing,V1-T
11,117,いっしょに,,together,Adverb
11,117,ぜひ,,definitely,Adverb
11,118,いっしゅうかん,一週間,one week,N
11,118,なんかい,何回,how many times,N
11,118,はしる,,to run,V1-I
11,118,~かい,～回,~times,Suffix
11,119,ちょっと,,"not good for me, a bit, a little",Adverb
11,119,きらいな,,dislike,na
11,119,だいきらいな,大きらいな,hate,na
11,120,たくさん,,a lot,Adverb
11,120,あるく,,to walk,V1-I
11,120,すこし,少し,a bit,Adverb
11,120,やすむ,休む,take a break,V1-I
11,121,どこか,,somewhere,N
11,121,どこへも,,anywhere,Adverb
11,121,いちにちじゅう,,all day,Adverb
12,-,へやのなか,部屋の中,Indoor,N
12,122,テーブル,,table,N
12,122,ソファー,,sofa,N
12,122,ベッド,,bed,N
12,122,でんわ,電話,telephone,N
12,122,ごみばこ,,trashcan,N
12,122,ラジオ,,radio,N
12,122,エアコン,,air-conditioner,N
12,122,れいぞうこ,,refrigerator,N
12,122,ドア,,door,N
12,122,かさ,,umbrella,N
12,122,まど,,window,N
12,122,カーテン,,curtain,N
12,122,にわ,,garden,N
12,123,さいふ,,wallet,N
12,123,（お）かね,（お）金,money,N
12,123,かぎ,,key,N
12,123,とけい,,watch,N
12,123,しゃしん,,photo,N
12,123,しんぶん,新聞,newspaper,N
12,123,ノートパソコン,,laptop PC,N
12,123,カメラ,,camera,N
12,123,ノート,,notebook,N
12,123,えんぴつ,,pencil,N
12,123,けしゴム,,eraser,N
12,123,ハンカチ,,handkerchief,N
12,123,テイッシュ,,tissue,N
12,127,きょうと,,Kyoto,N
12,127,なら,,Nara,N
12,128,～まい,,counter for flat wide things,Suffix
12,128,ときょう,,tokyo,Ｎ
12,128,ふじさん,,mt fuji,N
12,129,だれ,,who,N
12,130,たぶん,,probably,Adverb
12,131,なんさつ,何さつ,how many books,N
12,131,わかりません,,"don't know, don't understand",Phrase
12,132,かわいい,,cute,na
12,133,なんだい,何台,how many (devices/machines),N
12,133,もっている,持っている,to own,V2-T
12,133,～だい,～台,counter for devices/machines,Suffix
13,-,けいようし,形容詞,Adjectives,N
13,134,おおきい,大きい,big,i
13,134,ちいさい,小さい,small,i
13,134,あたらしい,新しい,new,i
13,134,ふるい,古い,old,i
13,134,たかい,高い,expensive,i
13,134,やすい,安い,inexpensive,i
13,134,たかい,高い,high,i
13,134,ひくい,,low,i
13,134,あかるい,明るい,bright,i
13,134,くらい,,dark,i
13,134,ひろい,広い,"broad, spacious",i
13,134,せまい,,narrow,i
13,134,はやい,,early,i
13,134,おそい,,late,i
13,134,いい,,good,i
13,135,わるい,,bad,i
13,135,はやい,,fast,i
13,135,おそい,,slow,i
13,135,きらいな,,beautiful,i
13,135,かっこいい,,"cool, stylish",i
13,135,かるい,,light,i
13,135,おもい,,heavy,i
13,135,ながい,長い,long,i
13,135,みじかい,,short,i
13,135,ふとい,太い,"fat, thick",i
13,135,ほそい,,thin,i
13,135,つよい,,strong,i
13,135,よわい,,weak,i
13,135,まるい,,round,i
13,135,じょうばな,,sturdy,na
13,137,くるま,車,car,N
13,138,ちょっと,,a bit,Adverb
13,139,バス,,bus,N
13,140,はな,花,flower,N
13,143,デザイン,,design,N
13,143,でも,,but,Conjugation
13,144,バッグ,,bag,N
13,144,どう,,how,Adverb
13,144,とても,,very,Adverb
13,145,いかが,,how (more polite than どう）,Adverb
13,145,もうすこし,もう少し,slightly more,Adverb
14,-,けいようし,形容詞,Adjectives,N
14,146,ちかい,近い,near,i
14,146,とおい,,far,i
14,146,べんりな,,"convenient, handy",na
14,146,ふべんな,,incovenient,na
14,146,きれいな,,clean,na
14,146,きたない,,dirty,i
14,146,おいしい,,delicious,i
14,146,みずい,,bad-tasting,i
14,146,おおい,多い,many,i
14,146,すくない,少ない,few,i
14,146,しずかな,静かな,quiet,na
14,146,うるさい,,loud,i
14,146,にぎやかな,,lively,na
14,146,ゆうめいな,,famous,na
14,146,あぶない,,dangerous,i
14,146,たいせつな,,important,na
14,146,やさしい,,easy,i
14,147,かんたんな,,"simple,easy",na
14,147,むずかしい,,difficult,i
14,147,いそがしい,,busy,i
14,147,ひまな,,"free,relaxed",na
14,147,たいへんな,,"hard,tough",na
14,147,たのしい,,fun,i
14,147,おもしろい,,interesting,i
14,147,つまらない,,boring,i
14,147,さびしい,,lonely,i
14,147,ねむい,,sleepy,i
14,147,じょうずな,,skillful,na
14,147,へたな,,bad (unskilled),na
14,147,むりな,,impossible,na
14,147,しんせつな,,kind,na
14,147,やさしい,,"gentle,easygoing",i
14,147,げんきな,元気な,energetic,na
14,147,わかい,,young,i
14,149,ところ,,place,N
14,151,まえ,前,"before,previously",N
14,152,（お）まつり,,festival,N
14,153,ひと,人,person,N
14,155,ほんとうに,,really,Adverb
14,156,（アル）バイト,,part-time job,"N, V3-I"
14,156,たいとい,,usually,Adverb
14,157,しごと,,job,N
14,159,パーテイー,,party,N
14,160,さいきん,,recently,Adverb
14,161,じかん,時間,"hour, time",N
14,162,ほんとう,,"yes,true",N
14,163,うんてん,,driving,"N, V3-T"
14,164,せんせい,先生,teacher,N
14,165,このまえ,この前,"previously, the other day",N
15,-,ねんがつぴ,年月日,Dates,N
15,-,きせつ,季節,Seasons,N
15,167,いちがつ,１月,first month,N
15,167,にがつ,２月,second month,N
15,167,さんがつ,３月,third month,N
15,167,しがつ,４月,fourth month,N
15,167,ごがつ,５月,fifth month,N
15,167,ろくがつ,６月,sixth month,N
15,167,しちがつ,７月,seventh month,N
15,167,はちがつ,８月,eigth month,N
15,167,くがつ,９月,nineth month,N
15,167,じゅうがつ,10月,tenth month,N
15,167,じゅういちがつ,11月,eleventh month,N
15,167,じゅうにがつ,12月,twelfth month,N
15,167,なんがつ,何月,what month?,N
15,168,いちたい,1日,First day,N
15,168,ふつか,2日,Second day,N
15,168,みっか,3日,Third day,N
15,168,よっか,4日,Fourth day,N
15,168,いっか,5日,Fifth day,N
15,168,むいか,6日,Sixth day,N
15,168,なのか,7日,Seventh day,N
15,168,ようか,8日,Eighth day,N
15,168,ここのか,9日,Ninth day,N
15,168,とおか,10日,Tenth day,N
15,168,じゅういちにち,11日,Eleventh day,N
15,168,じゅうににち,12日,Twelfth day,N
15,168,じゅうさんにち,13日,Thirteenth day,N
15,168,じゅうよっか,14日,Fourteenth day,N
15,168,じゅうごにち,15日,Fifteenth day,N
15,168,じゅうろくにち,16日,Sixteenth day,N
